DV0,DV1,DV2,DV3,AIN0,AIN1,AIN2,AIN3,time_stamp_ms
-131,-131,0,0,302,278,278,277,1590185687756
-131,-130,0,-1,302,278,276,276,1590185690186
-131,-129,0,-1,302,278,276,275,1590185692617
-130,-129,0,-1,302,278,275,275,1590185695046
-130,-130,0,0,302,278,277,277,1590185697476
-130,-131,0,0,302,278,278,277,1590185699907
-131,-130,0,0,302,278,277,276,1590185702336
-131,-129,0,-1,302,278,275,274,1590185704766
-129,-129,0,-1,302,277,276,275,1590185707196
-130,-131,0,0,302,278,278,277,1590185709626
-131,-130,0,0,302,278,277,276,1590185712056
-131,-129,0,-1,302,277,275,275,1590185714486
-130,-129,0,-1,302,277,276,275,1590185716917
-130,-131,0,0,302,278,277,275,1590185719330
-131,-129,0,-1,302,277,276,275,1590185721757
-129,-128,0,-1,302,277,275,275,1590185724186
-129,-130,0,0,302,278,278,277,1590185726616
-131,-131,0,0,303,278,278,277,1590185729046
-131,-129,0,0,303,277,275,277,1590185731491
-131,-130,0,0,303,278,277,277,1590185733936
-130,-131,0,0,303,278,278,277,1590185736366
-130,-129,0,-1,303,278,276,275,1590185738807
-129,-130,0,0,303,278,278,277,1590185741236
-131,-130,0,0,303,278,278,276,1590185743667
-131,-129,0,-1,303,278,276,275,1590185746096
-129,-128,0,-1,303,278,276,275,1590185748526
-129,-128,0,-1,303,278,276,274,1590185750976
-129,-130,0,0,303,278,278,277,1590185753406
-130,-131,0,0,303,278,278,278,1590185755836
-131,-130,0,0,303,278,277,276,1590185758266
-131,-129,0,-1,303,277,275,275,1590185760696
-129,-128,0,-1,303,278,275,275,1590185763126
-129,-130,0,0,303,278,278,277,1590185765556
-130,-131,0,0,303,278,278,278,1590185767986
-129,-129,0,0,303,278,277,275,1590185770477
-130,-130,0,0,303,278,277,277,1590185772917
-131,-129,0,-1,303,277,275,275,1590185775346
-129,-128,0,-1,303,277,275,275,1590185777777
-129,-130,0,0,303,278,277,277,1590185780207
-130,-131,0,0,303,278,277,277,1590185782630
-129,-130,0,0,303,278,278,277,1590185785057
-130,-131,0,0,303,278,278,278,1590185787487
-131,-131,0,-1,303,279,277,275,1590185789870
-130,-128,0,-1,303,277,275,275,1590185792297
-129,-128,0,-1,303,278,276,275,1590185794727
-129,-130,0,0,303,278,278,277,1590185797156
-131,-131,0,0,303,278,278,277,1590185799587
-131,-129,0,-1,303,277,275,275,1590185802016
-129,-128,0,-1,303,277,275,275,1590185804446
-129,-130,0,0,303,278,277,277,1590185806877
-131,-130,0,0,303,278,278,277,1590185809307
